Name,Category,latitude,longitude
Jewel Changi Airport,Shop,1.360062894,103.9899892
Katong Shopping Centre,Shop,1.303820402,103.90104
Katong Square,Shop,1.304776839,103.9046177
Kallang Wave Mall,Shop,1.303075152,103.8731497
Leisure Park Kallang,Shop,1.302221774,103.8761527
i12 Katong,Shop,1.305223062,103.9050439
Parkway Parade,Shop,1.301069755,103.9052795
Paya Lebar Square,Shop,1.31881487,103.8925808
Roxy Square,Shop,1.304325999,103.9040511
Singpost Centre,Shop,1.318996669,103.8948949
Tampines 1,Shop,1.346335358,103.9339796
Tampines Mall,Shop,1.352593614,103.944786
White Sands,Shop,1.372287616,103.9497339
City Plaza,Shop,1.314708663,103.8935086
Elias Mall,Shop,1.377905331,103.9423358
Loyang Point,Shop,1.367066342,103.9646356
888 Plaza,Shop,1.437118561,103.7953161
Admiralty Place,Shop,1.440420086,103.8015418
AMK Hub,Shop,1.369255114,103.8484641
Canberra Plaza,Shop,1.443495445,103.8303454
Causeway Point,Shop,1.435900079,103.7857958
Woodlands Civic Centre,Shop,1.435150244,103.7868161
Broadway Plaza,Shop,1.371937291,103.8459494
Djitsun Mall,Shop,1.326119703,103.9295545
Jubilee Square,Shop,1.371785586,103.8478376
Junction 8,Shop,1.350172432,103.8485537
Junction Nine,Shop,1.43312284,103.841661
Marsiling Mall,Shop,1.433543181,103.7798819
Northpoint City,Shop,1.428225609,103.83642
Sembawang Shopping Centre,Shop,1.441853253,103.8248324
Sun Plaza,Shop,1.448231135,103.8195237
Vista Point,Shop,1.430801139,103.7941048
Wisteria Mall,Shop,1.417989691,103.8413173
Woodlands Mart,Shop,1.44564787,103.7981623
Woodlands North Plaza,Shop,1.442753343,103.790548
Waterway Point,Shop,1.406379336,103.9021722
Compass One,Shop,1.392053142,103.8950705
Hougang Mall,Shop,1.372483087,103.8937881
Heartland Mall,Shop,1.359544509,103.8851691
NEX,Shop,1.350769353,103.8722961
Buangkok Square,Shop,1.384334266,103.8816231
Greenwich V,Shop,1.387395394,103.869136
Hougang 1,Shop,1.356642846,103.8898289
Hougang Green Shopping Mall,Shop,1.379317835,103.8878471
Hougang Rivercourt,Shop,1.362205919,103.8947421
myVillage At Serangoon Garden,Shop,1.365114906,103.8651595
Northshore Plaza,Shop,1.416761272,103.9020744
Oasis Terraces,Shop,1.402780157,103.9132151
Punggol Plaza,Shop,1.394237197,103.9130473
Rivervale Mall,Shop,1.392197778,103.9044716
Rivervale Plaza,Shop,1.385504208,103.9019884
The Seletar Mall,Shop,1.391470154,103.8761255
Upper Serangoon Shopping Centre,Shop,1.353480823,103.8788281
Beauty World Centre,Shop,1.342412642,103.7765394
Beauty World Plaza,Shop,1.341800186,103.7762594
Bukit Panjang Plaza,Shop,1.379882914,103.7643778
Bukit Timah Plaza,Shop,1.338631653,103.7785854
Fajar Shopping Centre,Shop,1.383574699,103.7708685
Greenridge Shopping Centre,Shop,1.385405693,103.7662285
Hillion Mall,Shop,1.378411651,103.7638295
HillV2,Shop,1.362674508,103.7641729
Junction 10,Shop,1.38055128,103.760107
Keat Hong Shopping Centre,Shop,1.377366074,103.7443936
Limbang Shopping Centre,Shop,1.392073887,103.7430996
Lot One,Shop,1.385069923,103.7452389
Rail Mall,Shop,1.357730502,103.7681377
Sunshine Place,Shop,1.377897277,103.7390155
Teck Whye Shopping Centre,Shop,1.38004753,103.7524838
West Mall,Shop,1.350375416,103.7491239
Yew Tee Point,Shop,1.397057415,103.7466621
Yew Tee Square,Shop,1.398369427,103.7471885
321 Clementi,Shop,1.31200212,103.7649867
The Clementi Mall,Shop,1.314896196,103.7644231
IMM,Shop,1.334875261,103.7468948
JCube,Shop,1.333323126,103.7401871
Jem,Shop,1.333059993,103.7435037
Westgate,Shop,1.334157676,103.7427665
Jurong Point,Shop,1.339452004,103.706685
Pioneer Mall,Shop,1.341692392,103.6971748
The Star Vista,Shop,1.306815007,103.7884627
Alexandra Central,Shop,1.287283209,103.8052834
Anchorpoint,Shop,1.28893478,103.8056078
Boon Lay Shopping Centre,Shop,1.346373764,103.7124728
Grantral Mall,Shop,1.314270439,103.7651475
Fairprice Hub,Shop,1.353495936,103.9401394
Gek Poh Shopping Centre,Shop,1.348741647,103.6977396
Rochester Mall,Shop,1.305407656,103.7884467
Taman Jurong Shopping Centre,Shop,1.334844875,103.720462
West Coast Plaza,Shop,1.303586225,103.7661038
Queensway Shopping Centre,Shop,1.287617926,103.8033911
